HC	FST	FA
23.97037	9.989933	10.73469
22.2657	13.02105	21.45736
19.55319	9.115756	13.00649
21.80508	5.190476	9.87251
8.889571	17.04636	13.23301
22.09362	8.964865	16.85714
11.17314	10.97984	7.714286
13.46535	8.824916	7.643357
12.61722	8.207715	10.73878
11.10573	24.91176	14.42135
9.158273	8.632597	16.79195
16.66857	17.67361	12.22581
15.24257	11.95885	10.65605
9.605166	16.73333	14.49246
17.19079	9.134021	11.49265
22.94628	14.40553	12.30802
13.21429	12.62445	9.435045
18.16848	10.32938	14.24324
13.86792	22.95	16.83333
23.29796	12.17213	11.5481
