HC	FST	FA
9.607407	6.191275	3.401361
5.415459	6.589474	15.16279
9.106383	9.639871	12.69156
13.35593	2.124224	5.01992
5.484663	9.13245	8.485437
20.16596	6.386486	5.799107
8.888693	6.104839	4.823377
6.39604	5.680135	8.566434
6.684211	4.139466	4.530612
10.33921	11.73529	10.37079
7.730216	5.638122	10.36242
6.234286	7.25	6.880184
7.871287	8.213992	7.519108
4.287823	6.746667	9.874372
6.092105	5.546392	2.558824
15.4876	12.91705	8.080169
15.57983	9.816594	4.682779
14.46739	10.30267	8.195195
12.94811	15.49	11.64943
14.31429	6.360656	8.052478
