HC	FST	FA
7.422222	1.446309	0.357143
7.705314	1.852632	0.48062
10.48936	3.881029	4.577922
12	4.585921	4.585657
12.78834	4.953642	5.927184
13.00851	5.427027	7.441964
13.43463	6.173387	9.153247
15.08911	6.326599	9.34965
15.17225	7.014837	9.812245
15.5815	9.544118	13.05618
17.03237	9.616022	14.36913
17.23429	9.958333	14.58525
19.33663	10.893	15.20701
21.38007	15.40667	15.75377
26.17105	15.96564	16.22794
27.65702	16.86175	16.27848
34.98739	22.60262	17.03625
43.79891	22.74184	21.06306
60.09906	27.66	26.18966
74.35918	27.69672	38.83965
