HC	FST	FA
3.392593	4.325503	0.265306
2.84058	0.294737	0.426357
6.134752	2.559486	0.873377
2.872881	2.217391	2.143426
3.119632	0.523179	0.597087
0.442553	3.972973	0.508929
6.157244	2.887097	0.45974
1.821782	4.861953	0.722611
0.894737	2.296736	0.840816
0.947137	2.926471	0.623596
1.895683	1.406077	7.026846
4.297143	1.847222	3.129032
5.163366	2.135802	0.796178
7.590406	1.053333	7.61809
0.592105	1.718213	0.238971
1.194215	12.7788	5.464135
5.651261	7.414847	0.770393
7.266304	0.554896	0.507508
1.792453	1.19	1.235632
0.75102	2.262295	1.373178

